,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270
0,30,36,40,39,32,53,25,30,17,22,0,16,-11,0,-1,0,1,4,-14,-6.0,-10.0,0.0,-51.0,-76.0,-92.0,-93.0,-124.0,-54.0,-68.0,-12.0,-44.0,-1.0,0.0,0.0,0.0,0.0,0.0,-4.0,-8.0,34.0,0.0,0.0,0.0,78.0,-21.0,3.0,-68.0,-22.0,-19.0,-20.0,-38.0,-30.0,-44.0,-21.0,-24.0,0.0,-75.0,-60.0,-75.0,-76.0,-85.0,-40.0,-60.0,-46.0,-47.0,-40.0,-32.0,-60.0,-68.0,-13.0,-166.0,-184.0,-211.0,-183.0,-292.0,-264.0,-261.0,-288.0,-319.0,-319.0,-339.0,-335.0,-324.0,-354.0,-345.0,-186.0,-251.0,-229.0,-239.0,-254.0,-252.0,-256.0,-267.0,-268.0,-268.0,-271.0,-275.0,-277.0,-296.0,-284.0,-269.0,-296.0,-296.0,-275.0,-296.0,-296.0,-299.0,-307.0,-304.0,-308.0,-308.0,-313.0,-313.0,-308.0,-308.0,-308.0,-295.0,-309.0,-314.0,-296.0,-309.0,-307.0,-313.0,-313.0,-313.0,-217.0,-253.0,-350.0,-410.0,-538.0,-658.0,-487.0,-504.0,-978.0,-989.0,-1010.0,-1098.0,-1112.0,-1275.0,-1276.0,-1273.0,-1273.0,-1273.0,-1273.0,-1273.0,-1273.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,27,50,42,55,17,46,33,43,19,24,20,35,13,23,22,23,33,30,23,41.0,17.0,17.0,32.0,40.0,49.0,45.0,37.0,42.0,12.0,0.0,10.0,24.0,14.0,34.0,0.0,-10.0,0.0,-8.0,-29.0,-12.0,-22.0,-9.0,-18.0,0.0,-24.0,0.0,-93.0,-80.0,-67.0,-56.0,-67.0,-42.0,-59.0,-64.0,-106.0,-1.0,-14.0,-22.0,-28.0,-36.0,-37.0,-30.0,-31.0,-11.0,-23.0,-15.0,-30.0,-34.0,-33.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,16,45,38,38,26,70,70,66,44,67,50,75,62,70,55,46,38,60,22,27.0,20.0,60.0,2.0,24.0,-18.0,0.0,-46.0,25.0,8.0,25.0,-46.0,41.0,27.0,105.0,93.0,107.0,83.0,106.0,98.0,94.0,88.0,120.0,77.0,154.0,146.0,156.0,113.0,89.0,6.0,200.0,-63.0,-70.0,-58.0,-63.0,-43.0,-27.0,-53.0,-49.0,-93.0,-79.0,-71.0,-61.0,-81.0,-79.0,-93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,25,37,22,52,37,42,33,35,35,48,27,37,25,37,21,49,37,32,38,50.0,31.0,44.0,43.0,23.0,32.0,6.0,11.0,18.0,0.0,47.0,12.0,34.0,10.0,27.0,15.0,11.0,22.0,26.0,16.0,26.0,10.0,49.0,34.0,62.0,0.0,0.0,0.0,90.0,85.0,62.0,57.0,61.0,21.0,146.0,99.0,194.0,201.0,150.0,98.0,95.0,0.0,0.0,0.0,-19.0,-19.0,-33.0,-61.0,-2.0,0.0,0.0,-4.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-18.0,-16.0,-18.0,-17.0,-63.0,-42.0,-61.0,-43.0,-44.0,-34.0,-34.0,-35.0,-31.0,-23.0,-26.0,-19.0,-17.0,-18.0,-16.0,-17.0,-12.0,-18.0,-29.0,-30.0,-41.0,-24.0,-21.0,-10.0,-29.0,-28.0,-44.0,-38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,17,21,22,53,46,52,46,58,56,54,54,43,38,44,43,36,21,34,32,32.0,21.0,55.0,46.0,50.0,44.0,39.0,43.0,55.0,65.0,64.0,37.0,66.0,38.0,73.0,51.0,59.0,74.0,84.0,80.0,107.0,104.0,89.0,88.0,74.0,36.0,74.0,0.0,40.0,0.0,35.0,8.0,47.0,16.0,27.0,40.0,26.0,26.0,22.0,7.0,13.0,10.0,10.0,0.0,208.0,183.0,228.0,295.0,347.0,235.0,296.0,353.0,366.0,367.0,234.0,222.0,262.0,301.0,333.0,227.0,363.0,365.0,362.0,378.0,378.0,378.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,11,39,29,33,17,48,31,47,31,45,26,46,46,44,15,37,44,43,27,59.0,18.0,39.0,25.0,32.0,27.0,36.0,27.0,41.0,30.0,55.0,35.0,42.0,28.0,21.0,2.0,21.0,13.0,33.0,18.0,58.0,40.0,55.0,56.0,69.0,56.0,49.0,58.0,58.0,53.0,55.0,44.0,61.0,38.0,33.0,34.0,128.0,116.0,142.0,114.0,197.0,185.0,434.0,245.0,277.0,0.0,301.0,271.0,263.0,229.0,279.0,300.0,320.0,331.0,332.0,302.0,328.0,312.0,331.0,334.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,31,42,31,37,40,62,34,56,43,53,37,49,59,75,62,97,73,68,64,105.0,87.0,83.0,12.0,37.0,43.0,51.0,51.0,61.0,83.0,78.0,54.0,65.0,55.0,50.0,56.0,102.0,86.0,107.0,81.0,163.0,169.0,172.0,181.0,236.0,115.0,163.0,139.0,153.0,128.0,147.0,136.0,187.0,174.0,221.0,204.0,151.0,116.0,127.0,146.0,143.0,167.0,157.0,143.0,123.0,106.0,227.0,237.0,216.0,237.0,277.0,262.0,465.0,473.0,601.0,600.0,636.0,644.0,687.0,691.0,1025.0,1213.0,1222.0,1269.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,28,53,31,31,25,23,17,25,28,68,47,30,27,61,39,52,42,53,49,59.0,54.0,54.0,52.0,95.0,86.0,117.0,96.0,75.0,66.0,50.0,59.0,26.0,34.0,73.0,58.0,85.0,0.0,58.0,0.0,0.0,0.0,88.0,90.0,146.0,142.0,160.0,158.0,183.0,136.0,159.0,133.0,139.0,100.0,109.0,116.0,120.0,99.0,214.0,137.0,125.0,83.0,105.0,99.0,107.0,-34.0,150.0,0.0,72.0,34.0,37.0,28.0,28.0,35.0,27.0,32.0,866.0,895.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,12,21,6,34,37,29,37,51,31,43,15,11,6,24,-19,3,-12,7,-14,12.0,6.0,-2.0,-24.0,-23.0,-54.0,-46.0,-41.0,-11.0,-31.0,-11.0,-22.0,-23.0,-22.0,-10.0,-36.0,-45.0,-42.0,0.0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,34,48,27,28,22,43,47,45,39,63,40,49,37,64,49,83,60,62,29,49.0,32.0,41.0,37.0,35.0,45.0,28.0,37.0,31.0,29.0,61.0,58.0,89.0,50.0,44.0,40.0,41.0,27.0,35.0,-10.0,0.0,-28.0,-10.0,-49.0,-14.0,-56.0,2.0,-18.0,-16.0,-18.0,0.0,-12.0,-12.0,-30.0,-16.0,-48.0,0.0,-30.0,-32.0,-37.0,0.0,-15.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
