,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120
0,32.0,4.0,7.0,0.0,36.0,0.0,48.0,28.0,6.0,105.0,4.0,9.0,5.0,37.0,64.0,0.0,14.0,139.0,66.0,56.0,57.0,14.0,16.0,0.0,0.0,0.0,35.0,11.0,1.0,32.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2.0,6.0,9.0,24.0,27.0,15.0,61.0,3.0,18.0,106.0,28.0,15.0,26.0,0.0,0.0,0.0,36.0,0.0,0.0,7.0,0.0,299.0,0.0,0.0,0.0,0.0,0.0,186.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,42.0,12.0,0.0,8.0,9.0,15.0,7.0,54.0,0.0,25.0,50.0,60.0,0.0,26.0,9.0,0.0,0.0,17.0,25.0,27.0,57.0,28.0,26.0,13.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,14.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,17.0,18.0,20.0,28.0,8.0,59.0,76.0,2.0,93.0,0.0,68.0,10.0,102.0,0.0,148.0,2.0,0.0,117.0,24.0,2.0,0.0,12.0,0.0,12.0,42.0,10.0,18.0,149.0,4.0,117.0,105.0,4.0,92.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,13.0,35.0,26.0,19.0,25.0,14.0,4.0,4.0,6.0,11.0,74.0,0.0,11.0,35.0,26.0,26.0,91.0,13.0,22.0,9.0,34.0,27.0,27.0,0.0,85.0,0.0,0.0,47.0,0.0,0.0,0.0,14.0,0.0,42.0,14.0,6.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,25.0,32.0,1.0,18.0,14.0,11.0,31.0,9.0,4.0,59.0,17.0,5.0,1.0,17.0,5.0,0.0,4.0,20.0,3.0,6.0,10.0,6.0,0.0,22.0,24.0,34.0,22.0,70.0,0.0,9.0,0.0,69.0,153.0,12.0,1.0,9.0,0.0,8.0,0.0,24.0,51.0,15.0,37.0,46.0,64.0,0.0,21.0,0.0,24.0,118.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,20.0,0.0,3.0,9.0,9.0,0.0,12.0,0.0,3.0,0.0,120.0,8.0,78.0,16.0,20.0,0.0,139.0,38.0,31.0,35.0,6.0,42.0,56.0,129.0,65.0,88.0,69.0,137.0,0.0,27.0,7.0,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,9.0,22.0,5.0,0.0,19.0,46.0,0.0,3.0,18.0,93.0,12.0,10.0,118.0,27.0,50.0,8.0,0.0,26.0,6.0,252.0,86.0,0.0,128.0,0.0,1.0,23.0,220.0,164.0,236.0,24.0,27.0,81.0,13.0,258.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,14.0,11.0,0.0,19.0,0.0,0.0,1.0,19.0,14.0,34.0,39.0,63.0,12.0,0.0,48.0,79.0,105.0,20.0,0.0,0.0,152.0,197.0,12.0,111.0,34.0,22.0,4.0,98.0,205.0,21.0,0.0,47.0,1400.0,731.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,12.0,5.0,27.0,0.0,12.0,41.0,0.0,40.0,48.0,0.0,7.0,9.0,0.0,108.0,7.0,0.0,0.0,0.0,33.0,26.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
