,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134
0,6.0,0.0,21.0,5.0,5.0,16.0,11.0,1.0,3.0,8.0,10.0,0.0,0.0,70.0,56.0,43.0,0.0,0.0,0.0,42.0,0.0,78.0,24.0,46.0,0.0,8.0,23.0,24.0,15.0,0.0,45.0,14.0,7.0,0.0,55.0,0.0,28.0,28.0,0.0,0.0,4.0,0.0,159.0,22.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,21.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,18.0,2.0,0.0,96.0,0.0,0.0,171.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,8.0,38.0,13.0,24.0,4.0,22.0,1.0,0.0,7.0,24.0,0.0,0.0,8.0,30.0,0.0,10.0,34.0,0.0,21.0,10.0,9.0,24.0,93.0,0.0,11.0,17.0,42.0,13.0,6.0,1.0,1.0,12.0,15.0,0.0,0.0,3.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,29.0,0.0,44.0,0.0,23.0,25.0,8.0,0.0,22.0,5.0,40.0,22.0,18.0,71.0,17.0,87.0,78.0,14.0,23.0,0.0,32.0,77.0,10.0,0.0,194.0,0.0,0.0,16.0,4.0,14.0,10.0,2.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,12.0,30.0,5.0,2.0,13.0,10.0,12.0,28.0,0.0,12.0,13.0,0.0,0.0,7.0,47.0,22.0,17.0,0.0,4.0,10.0,39.0,28.0,0.0,90.0,0.0,4.0,125.0,95.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,3.0,0.0,0.0,0.0,2.0,1.0,21.0,18.0,10.0,0.0,8.0,7.0,0.0,0.0,0.0,0.0,17.0,11.0,1.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,7.0,6.0,2.0,0.0,5.0,1.0,15.0,2.0,11.0,9.0,6.0,0.0,0.0,27.0,28.0,22.0,0.0,4.0,3.0,1.0,38.0,74.0,40.0,27.0,31.0,0.0,0.0,15.0,3.0,10.0,25.0,0.0,112.0,0.0,0.0,12.0,0.0,106.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,10.0,16.0,17.0,16.0,19.0,0.0,29.0,0.0,16.0,41.0,14.0,5.0,9.0,11.0,20.0,14.0,19.0,8.0,15.0,18.0,0.0,13.0,0.0,5.0,11.0,23.0,0.0,12.0,28.0,12.0,189.0,277.0,30.0,34.0,0.0,0.0,30.0,16.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,11.0,6.0,22.0,22.0,10.0,12.0,16.0,35.0,0.0,41.0,0.0,25.0,8.0,10.0,0.0,11.0,0.0,46.0,21.0,82.0,3.0,55.0,48.0,14.0,19.0,51.0,47.0,0.0,11.0,0.0,0.0,0.0,121.0,0.0,40.0,203.0,128.0,36.0,43.0,309.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,22.0,6.0,6.0,0.0,21.0,3.0,22.0,10.0,4.0,5.0,2.0,9.0,21.0,9.0,0.0,0.0,15.0,85.0,58.0,0.0,0.0,4.0,2.0,47.0,26.0,39.0,0.0,21.0,77.0,42.0,6.0,141.0,150.0,38.0,9.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,9.0,28.0,0.0,14.0,12.0,0.0,18.0,22.0,19.0,26.0,0.0,1.0,8.0,30.0,20.0,0.0,12.0,0.0,42.0,7.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,21.0,6.0,0.0,6.0,23.0,12.0,15.0,23.0,33.0,17.0,4.0,0.0,0.0,2.0,3.0,39.0,4.0,14.0,45.0,28.0,39.0,42.0,20.0,2.0,12.0,18.0,32.0,30.0,5.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
