,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98
0,8.0,1.0,0.0,2.0,3.0,14.0,44.0,9.0,100.0,48.0,32.0,25.0,8.0,10.0,19.0,0.0,0.0,8.0,31.0,32.0,15.0,18.0,8.0,0.0,0.0,18.0,15.0,4.0,18.0,0.0,12.0,19.0,0.0,0.0,0.0,14.0,38.0,60.0,0.0,16.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,9.0,24.0,8.0,35.0,4.0,5.0,19.0,25.0,9.0,10.0,79.0,25.0,22.0,9.0,19.0,31.0,17.0,0.0,135.0,48.0,23.0,0.0,6.0,37.0,0.0,0.0,55.0,0.0,0.0,0.0,8.0,32.0,3.0,82.0,278.0,22.0,82.0,10.0,0.0,0.0,59.0,41.0,10.0,0.0,0.0,31.0,21.0,41.0,18.0,20.0,0.0,21.0,15.0,146.0,33.0,11.0,0.0,0.0,0.0,0.0,0.0,82.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,30.0,11.0,0.0,21.0,25.0,37.0,8.0,20.0,41.0,3.0,7.0,2.0,19.0,20.0,15.0,9.0,8.0,0.0,0.0,0.0,24.0,0.0,86.0,78.0,14.0,2.0,84.0,0.0,36.0,9.0,18.0,4.0,15.0,26.0,0.0,11.0,77.0,16.0,0.0,41.0,88.0,208.0,31.0,32.0,29.0,0.0,49.0,20.0,45.0,0.0,19.0,35.0,13.0,101.0,0.0,0.0,440.0,0.0,81.0,3.0,16.0,22.0,29.0,0.0,398.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,48.0,44.0,0.0,18.0,0.0,2.0,9.0,0.0,32.0,14.0,3.0,0.0,23.0,77.0,12.0,0.0,4.0,12.0,0.0,0.0,12.0,0.0,0.0,0.0,157.0,33.0,59.0,0.0,17.0,0.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,26.0,3.0,59.0,0.0,19.0,19.0,7.0,29.0,0.0,55.0,12.0,227.0,92.0,38.0,22.0,15.0,8.0,39.0,57.0,153.0,216.0,922.0,0.0,0.0,0.0,5.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,17.0,20.0,1.0,0.0,6.0,1.0,0.0,0.0,3.0,5.0,11.0,16.0,18.0,22.0,17.0,54.0,3.0,49.0,16.0,110.0,118.0,0.0,0.0,10.0,1.0,8.0,71.0,28.0,70.0,0.0,124.0,101.0,0.0,58.0,0.0,0.0,0.0,13.0,380.0,255.0,31.0,160.0,0.0,93.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,24.0,26.0,0.0,0.0,7.0,124.0,23.0,45.0,18.0,107.0,23.0,7.0,0.0,83.0,37.0,0.0,21.0,106.0,40.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,4.0,17.0,24.0,0.0,23.0,0.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,14.0,23.0,29.0,2.0,6.0,14.0,20.0,26.0,67.0,12.0,1.0,23.0,0.0,18.0,0.0,25.0,6.0,0.0,0.0,2.0,7.0,10.0,9.0,85.0,0.0,153.0,24.0,16.0,81.0,30.0,179.0,26.0,20.0,9.0,93.0,2.0,47.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,36.0,12.0,50.0,25.0,7.0,15.0,17.0,34.0,21.0,0.0,21.0,0.0,12.0,0.0,35.0,14.0,21.0,19.0,5.0,9.0,162.0,124.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
