,Event,Site,Date,Round,White,Black,Result,BlackElo,ECO,EventCategory,EventCountry,EventDate,EventRounds,EventType,PlyCount,Source,SourceDate,SourceQuality,SourceTitle,SourceVersion,SourceVersionDate,WhiteElo,BlackTeam,WhiteTeam,BlackTeamCountry,WhiteTeamCountry
0,82nd Tata Steel GpA,Wijk aan Zee NED,2020.01.11,1.1,"Carlsen, M.","Giri, A.",1/2-1/2,2768,A22,20,NED,2020.01.11,13,tourn,49,Mark Crowther,2020.01.13,2,The Week in Chess 1314,1,2020.01.13,2872,,,,
1,82nd Tata Steel GpA,Wijk aan Zee NED,2020.01.12,2.1,Yu Yangyi,"Carlsen, M.",1/2-1/2,2872,B90,20,NED,2020.01.11,13,tourn,61,Mark Crowther,2020.01.13,2,The Week in Chess 1314,1,2020.01.13,2726,,,,
2,82nd Tata Steel GpA,Wijk aan Zee NED,2020.01.13,3.1,"Carlsen, M.","Xiong, Jeffery",1/2-1/2,2712,D41,20,NED,2020.01.11,13,tourn,112,Mark Crowther,2020.01.13,2,The Week in Chess 1314,1,2020.01.13,2872,,,,
3,82nd Tata Steel GpA,Wijk aan Zee NED,2020.01.14,4.1,"Van Foreest, Jorden","Carlsen, M.",1/2-1/2,2872,C58,20,NED,2020.01.11,13,tourn,89,,,,,,,2644,,,,
4,82nd Tata Steel GpA,Wijk aan Zee NED,2020.01.16,5.1,"Carlsen, M.","Dubov, Daniil",1/2-1/2,2683,B31,20,NED,2020.01.11,13,tourn,93,,,,,,,2872,,,,
5,82nd Tata Steel GpA,Wijk aan Zee NED,2020.01.17,6.1,"Carlsen, M.","Caruana, F.",1/2-1/2,2822,D37,20,NED,2020.01.11,13,tourn,55,,,,,,,2872,,,,
6,82nd Tata Steel GpA,Wijk aan Zee NED,2020.01.18,7.1,"Anand, V.","Carlsen, M.",1/2-1/2,2872,B31,20,NED,2020.01.11,13,tourn,107,,,,,,,2758,,,,
7,82nd Tata Steel GpA,Wijk aan Zee NED,2020.01.19,8.1,"Carlsen, M.","Vitiugov, N.",1-0,2747,C84,20,NED,2020.01.11,13,tourn,59,,,,,,,2872,,,,
8,82nd Tata Steel GpA,Wijk aan Zee NED,2020.01.21,9.1,"Firouzja, Alireza","Carlsen, M.",0-1,2872,C65,20,NED,2020.01.11,13,tourn,78,Mark Crowther,2020.01.27,2,The Week in Chess 1316,1,2020.01.27,2723,,,,
9,82nd Tata Steel GpA,Wijk aan Zee NED,2020.01.22,10.1,"Carlsen, M.","Kovalev, Vl",1-0,2660,D55,20,NED,2020.01.11,13,tourn,73,Mark Crowther,2020.01.27,2,The Week in Chess 1316,1,2020.01.27,2872,,,,
10,82nd Tata Steel GpA,Wijk aan Zee NED,2020.01.24,11.1,"Duda, J.","Carlsen, M.",1/2-1/2,2872,C53,20,NED,2020.01.11,13,tourn,86,Mark Crowther,2020.01.27,2,The Week in Chess 1316,1,2020.01.27,2758,,,,
11,82nd Tata Steel GpA,Wijk aan Zee NED,2020.01.25,12.1,"Carlsen, M.","Artemiev, V.",1/2-1/2,2731,D85,20,NED,2020.01.11,13,tourn,73,Mark Crowther,2020.01.27,2,The Week in Chess 1316,1,2020.01.27,2872,,,,
