,Event,Site,Date,Round,White,Black,Result,BlackElo,ECO,EventCountry,EventDate,EventRounds,EventType,PlyCount,Source,SourceDate,SourceQuality,SourceTitle,SourceVersion,SourceVersionDate,WhiteElo,BlackTeam,WhiteTeam,EventCategory,BlackTeamCountry,WhiteTeamCountry
0,Montebelluna Elite 2020,Montebelluna ITA,2020.01.02,1.3,"Erigaisi, Arjun","Barrish, Daniel",1-0,2352,A20,ITA,2020.01.02,9,swiss,65,Mark Crowther,2020.01.06,2,The Week in Chess 1313,1,2020.01.06,2575,,,,,
1,Montebelluna Elite 2020,Montebelluna ITA,2020.01.02,2.3,"Nikolovski, Nikola","Erigaisi, Arjun",0-1,2575,B10,ITA,2020.01.02,9,swiss,69,Mark Crowther,2020.01.06,2,The Week in Chess 1313,1,2020.01.06,2442,,,,,
2,Montebelluna Elite 2020,Montebelluna ITA,2020.01.03,3.2,"Erigaisi, Arjun","Can, Isik",1-0,2374,A09,ITA,2020.01.02,9,swiss,78,Mark Crowther,2020.01.06,2,The Week in Chess 1313,1,2020.01.06,2575,,,,,
3,Montebelluna Elite 2020,Montebelluna ITA,2020.01.03,4.1,"Martinez Alcantara, Jose Eduardo","Erigaisi, Arjun",1-0,2575,A07,ITA,2020.01.02,9,swiss,67,Mark Crowther,2020.01.06,2,The Week in Chess 1313,1,2020.01.06,2606,,,,,
4,Montebelluna Elite 2020,Montebelluna ITA,2020.01.04,5.2,"Erigaisi, Arjun","Gaehwiler, G.",1-0,2394,C43,ITA,2020.01.02,9,swiss,77,Mark Crowther,2020.01.06,2,The Week in Chess 1313,1,2020.01.06,2575,,,,,
5,Montebelluna Elite 2020,Montebelluna ITA,2020.01.04,6.2,"Radovanovic, Mihajlo","Erigaisi, Arjun",1/2-1/2,2575,D45,ITA,2020.01.02,9,swiss,119,Mark Crowther,2020.01.06,2,The Week in Chess 1313,1,2020.01.06,2485,,,,,
6,Montebelluna Elite 2020,Montebelluna ITA,2020.01.05,7.2,"Ter Sahakyan, S.","Erigaisi, Arjun",1-0,2575,B48,ITA,2020.01.02,9,swiss,65,Mark Crowther,2020.01.06,2,The Week in Chess 1313,1,2020.01.06,2617,,,,,
7,Montebelluna Elite 2020,Montebelluna ITA,2020.01.05,8.3,"Erigaisi, Arjun","Sonis, Francesco",0-1,2458,D10,ITA,2020.01.02,9,swiss,70,Mark Crowther,2020.01.06,2,The Week in Chess 1313,1,2020.01.06,2575,,,,,
8,Montebelluna Elite 2020,Montebelluna ITA,2020.01.06,9.7,"Erigaisi, Arjun","Loiacono, Antonio",1-0,2295,D43,ITA,2020.01.02,9,swiss,69,Mark Crowther,2020.01.06,2,The Week in Chess 1313,1,2020.01.06,2575,,,,,
9,40th TCh-IND 2020,Ahmedabad IND,2020.02.07,1.4,"Erigaisi, Arjun","Rathore, So",1-0,1802,A07,IND,2020.02.07,9,team,53,Mark Crowther,2020.02.10,2,The Week in Chess 1318,2,2020.02.11,2563,All Rajputana A,Telangana,,,
10,40th TCh-IND 2020,Ahmedabad IND,2020.02.08,2.4,"Rupesh, R.","Erigaisi, Arjun",1-0,2563,B01,IND,2020.02.07,9,team,81,Mark Crowther,2020.02.10,2,The Week in Chess 1318,2,2020.02.11,1889,Telangana,Bihar B,,,
11,40th TCh-IND 2020,Ahmedabad IND,2020.02.08,3.4,"Erigaisi, Arjun","Sidhant, M.",1/2-1/2,2367,D10,IND,2020.02.07,9,team,67,Mark Crowther,2020.02.10,2,The Week in Chess 1318,2,2020.02.11,2563,Odisha A,Telangana,,,
12,40th TCh-IND 2020,Ahmedabad IND,2020.02.09,4.1,"Adhiban, Baskaran","Erigaisi, Arjun",1-0,2563,D43,IND,2020.02.07,9,team,57,Mark Crowther,2020.02.10,2,The Week in Chess 1318,2,2020.02.11,2654,Telangana,Petroleum SPB,,,
13,40th TCh-IND 2020,Ahmedabad IND,2020.02.10,5.3,"Erigaisi, Arjun","Anadkat, Kartavya",1-0,2152,A87,IND,2020.02.07,9,team,195,Mark Crowther,2020.02.10,2,The Week in Chess 1318,2,2020.02.11,2563,Gujarat A,Telangana,,,
14,40th TCh-IND 2020,Ahmedabad IND,2020.02.10,6.3,"Narayanan, Sri","Erigaisi, Arjun",0-1,2563,C01,IND,2020.02.07,9,team,80,Mark Crowther,2020.02.10,2,The Week in Chess 1318,2,2020.02.11,2535,Telangana,Air India SPB,,,
15,40th TCh-IND 2020,Ahmedabad IND,2020.02.11,7.2,"Erigaisi, Arjun","Puranik, A.",1/2-1/2,2597,D85,IND,2020.02.07,9,team,100,Mark Crowther,2020.02.17,2,The Week in Chess 1319,1,2020.02.17,2563,Airports Authority of India,Telangana,,,
16,40th TCh-IND 2020,Ahmedabad IND,2020.02.12,8.3,"Krishna, CRG.","Erigaisi, Arjun",1/2-1/2,2563,A13,IND,2020.02.07,9,team,129,Mark Crowther,2020.02.17,2,The Week in Chess 1319,1,2020.02.17,2443,Telangana,Railways SPB B,,,
17,40th TCh-IND 2020,Ahmedabad IND,2020.02.13,9.4,"Vignesh, N R.","Erigaisi, Arjun",1/2-1/2,2563,D30,IND,2020.02.07,9,team,127,Mark Crowther,2020.02.17,2,The Week in Chess 1319,1,2020.02.17,2436,Telangana,Railways SPB A,,,
18,Aeroflot Open A 2020,Moscow RUS,2020.02.19,1.45,"Erigaisi, Arjun","Badelka, Olga",0-1,2404,E20,RUS,2020.02.19,9,swiss,80,Mark Crowther,2020.02.24,2,The Week in Chess 1320,1,2020.02.24,2563,,,,,
19,Aeroflot Open A 2020,Moscow RUS,2020.02.20,2.42,"Rahul, Srivatshav P","Erigaisi, Arjun",0-1,2563,A41,RUS,2020.02.19,9,swiss,102,Mark Crowther,2020.02.24,2,The Week in Chess 1320,1,2020.02.24,2474,,,,,
20,Aeroflot Open A 2020,Moscow RUS,2020.02.21,3.32,"Erigaisi, Arjun","Makarian, Rudik",1/2-1/2,2414,A38,RUS,2020.02.19,9,swiss,104,Mark Crowther,2020.02.24,2,The Week in Chess 1320,1,2020.02.24,2563,,,,,
21,Aeroflot Open A 2020,Moscow RUS,2020.02.22,4.31,"Gokerkan, Cem Kaan","Erigaisi, Arjun",0-1,2563,B51,RUS,2020.02.19,9,swiss,92,Mark Crowther,2020.02.24,2,The Week in Chess 1320,1,2020.02.24,2461,,,,,
22,Aeroflot Open A 2020,Moscow RUS,2020.02.23,5.18,"Erigaisi, Arjun","Kobalia, M.",1/2-1/2,2609,D11,RUS,2020.02.19,9,swiss,93,Mark Crowther,2020.02.24,2,The Week in Chess 1320,1,2020.02.24,2563,,,,,
23,Aeroflot Open A 2020,Moscow RUS,2020.02.24,6.15,"Martirosyan, Haik M.","Erigaisi, Arjun",0-1,2563,B31,RUS,2020.02.19,9,swiss,90,Mark Crowther,2020.02.24,2,The Week in Chess 1320,1,2020.02.24,2630,,,,,
24,Aeroflot Open A 2020,Moscow RUS,2020.02.25,7.5,"Erigaisi, Arjun","Adhiban, Baskaran",0-1,2654,E04,RUS,2020.02.19,9,swiss,120,Mark Crowther,2020.03.02,2,The Week in Chess 1321,1,2020.03.02,2563,,,,,
25,Aeroflot Open A 2020,Moscow RUS,2020.02.26,8.16,"Durarbayli, V.","Erigaisi, Arjun",1/2-1/2,2563,B91,RUS,2020.02.19,9,swiss,179,Mark Crowther,2020.03.02,2,The Week in Chess 1321,1,2020.03.02,2625,,,,,
26,Aeroflot Open A 2020,Moscow RUS,2020.02.27,9.18,"Erigaisi, Arjun","Indjic, A.",1-0,2622,C45,RUS,2020.02.19,9,swiss,137,Mark Crowther,2020.03.02,2,The Week in Chess 1321,1,2020.03.02,2563,,,,,
27,TCh-BAN Premier 2021,Dhaka BAN,2021.03.19,1.5,"Neelotpal, D.","Erigaisi, Arjun",0-1,2559,C47,,2021.03.19,11,team,92,Mark Crowther,2021.03.22,2,The Week in Chess 1376,1,2021.03.22,2425,Titas Club,Bangladesh Biman,,,
28,TCh-BAN Premier 2021,Dhaka BAN,2021.03.20,2.1,"Chowdhury, So","Erigaisi, Arjun",0-1,2559,C63,,2021.03.19,11,team,53,Mark Crowther,2021.03.22,2,The Week in Chess 1376,1,2021.03.22,2149,Titas Club,Shahin Chess Club,,,
29,TCh-BAN Premier 2021,Dhaka BAN,2021.03.21,3.4,"Erigaisi, Arjun","Abu Sufian, S.",1-0,2244,A09,,2021.03.19,11,team,113,Mark Crowther,2021.03.22,2,The Week in Chess 1376,1,2021.03.22,2559,Bangladesh Navy,Titas Club,,,
30,TCh-BAN Premier 2021,Dhaka BAN,2021.03.22,4.2,"Erigaisi, Arjun","Ganguly, S.",1/2-1/2,2635,C45,,2021.03.19,11,team,60,Mark Crowther,2021.03.22,2,The Week in Chess 1376,1,2021.03.22,2559,Bangladesh Police,Titas Club,,,
31,TCh-BAN Premier 2021,Dhaka BAN,2021.03.23,5.3,"Md., Matiur Rahman","Erigaisi, Arjun",0-1,2559,D37,,2021.03.19,11,team,104,Mark Crowther,2021.03.29,2,The Week in Chess 1377,1,2021.03.29,1979,Titas Club,Sonali Bank Sports & Recreation Club,,,
32,TCh-BAN Premier 2021,Dhaka BAN,2021.03.24,6.3,"Rahman, SM.","Erigaisi, Arjun",1/2-1/2,2559,E62,,2021.03.19,11,team,132,Mark Crowther,2021.03.29,2,The Week in Chess 1377,1,2021.03.29,2158,Titas Club,Janata Bank Officer Welfare Society,,,
33,TCh-BAN Premier 2021,Dhaka BAN,2021.03.25,7.2,"Kovalev, Vl","Erigaisi, Arjun",1/2-1/2,2559,C07,,2021.03.19,11,team,60,Mark Crowther,2021.03.29,2,The Week in Chess 1377,1,2021.03.29,2648,Titas Club,SAIF Sporting Club,,,
34,TCh-BAN Premier 2021,Dhaka BAN,2021.03.26,8.4,"Hamid, R.","Erigaisi, Arjun",0-1,2559,C63,,2021.03.19,11,team,90,Mark Crowther,2021.03.29,2,The Week in Chess 1377,1,2021.03.29,1923,Titas Club,Sheikh Russel Chess Club,,,
