,Event,Site,Date,Round,White,Black,Result,BlackElo,ECO,EventCategory,EventCountry,EventDate,EventRounds,EventType,PlyCount,Source,SourceDate,SourceQuality,SourceTitle,SourceVersion,SourceVersionDate,WhiteElo
0,FIDE Candidates 2020,Yekaterinburg RUS,2020.03.17,1.3,"Giri, A.","Nepomniachtchi, I.",0-1,2774,A33,21,RUS,2020.03.17,14,tourn,146,Mark Crowther,2020.03.23,2,The Week in Chess 1324,1,2020.03.23,2763
1,FIDE Candidates 2020,Yekaterinburg RUS,2020.03.18,2.2,"Nepomniachtchi, I.","Grischuk, A.",1/2-1/2,2777,C67,21,RUS,2020.03.17,14,tourn,80,Mark Crowther,2020.03.23,2,The Week in Chess 1324,1,2020.03.23,2774
2,FIDE Candidates 2020,Yekaterinburg RUS,2020.03.19,3.4,"Alekseenko, K.","Nepomniachtchi, I.",1/2-1/2,2774,C19,21,RUS,2020.03.17,14,tourn,79,Mark Crowther,2020.03.23,2,The Week in Chess 1324,1,2020.03.23,2698
3,FIDE Candidates 2020,Yekaterinburg RUS,2020.03.21,4.1,"Caruana, F.","Nepomniachtchi, I.",1/2-1/2,2774,D87,21,RUS,2020.03.17,14,tourn,110,Mark Crowther,2020.03.23,2,The Week in Chess 1324,1,2020.03.23,2842
4,FIDE Candidates 2020,Yekaterinburg RUS,2020.03.22,5.4,"Nepomniachtchi, I.",Wang Hao,1-0,2762,C42,21,RUS,2020.03.17,14,tourn,85,Mark Crowther,2020.03.23,2,The Week in Chess 1324,1,2020.03.23,2774
5,FIDE Candidates 2020,Yekaterinburg RUS,2020.03.23,6.3,"Nepomniachtchi, I.",Ding Liren,1-0,2805,C84,21,RUS,2020.03.17,14,tourn,79,Mark Crowther,2020.03.23,2,The Week in Chess 1324,1,2020.03.23,2774
6,FIDE Candidates 2020,Yekaterinburg RUS,2020.03.25,7.2,"Vachier Lagrave, M.","Nepomniachtchi, I.",1-0,2774,C19,21,RUS,2020.03.17,14,tourn,83,Mark Crowther,2020.03.30,2,The Week in Chess 1325,1,2020.03.30,2767
7,73rd ch-RUS 2020,Moscow RUS,2020.12.05,1.4,"Nepomniachtchi, I.","Matlakov, M.",1-0,2698,D35,18,RUS,2020.12.05,11,tourn,77,Mark Crowther,2020.12.07,2,The Week in Chess 1361,1,2020.12.07,2784
8,73rd ch-RUS 2020,Moscow RUS,2020.12.06,2.4,"Svidler, P.","Nepomniachtchi, I.",1/2-1/2,2784,B90,18,RUS,2020.12.05,11,tourn,49,Mark Crowther,2020.12.07,2,The Week in Chess 1361,1,2020.12.07,2723
9,73rd ch-RUS 2020,Moscow RUS,2020.12.07,3.3,"Nepomniachtchi, I.","Artemiev, V.",1/2-1/2,2711,C79,18,RUS,2020.12.05,11,tourn,62,Mark Crowther,2020.12.07,2,The Week in Chess 1361,1,2020.12.07,2784
10,73rd ch-RUS 2020,Moscow RUS,2020.12.08,4.5,"Antipov, M2.","Nepomniachtchi, I.",0-1,2784,B90,18,RUS,2020.12.05,11,tourn,60,Mark Crowther,2020.12.14,2,The Week in Chess 1362,1,2020.12.14,2611
11,73rd ch-RUS 2020,Moscow RUS,2020.12.09,5.2,"Nepomniachtchi, I.","Vitiugov, N.",1/2-1/2,2720,C45,18,RUS,2020.12.05,11,tourn,49,Mark Crowther,2020.12.14,2,The Week in Chess 1362,1,2020.12.14,2784
12,73rd ch-RUS 2020,Moscow RUS,2020.12.10,6.6,"Goganov, A.","Nepomniachtchi, I.",0-1,2784,D37,18,RUS,2020.12.05,11,tourn,92,Mark Crowther,2020.12.14,2,The Week in Chess 1362,1,2020.12.14,2594
13,73rd ch-RUS 2020,Moscow RUS,2020.12.12,7.1,"Nepomniachtchi, I.","Karjakin, Sergey",1-0,2752,E20,18,RUS,2020.12.05,11,tourn,63,Mark Crowther,2020.12.14,2,The Week in Chess 1362,1,2020.12.14,2784
14,73rd ch-RUS 2020,Moscow RUS,2020.12.13,8.6,"Nepomniachtchi, I.","Fedoseev, Vl3",1/2-1/2,2674,B51,18,RUS,2020.12.05,11,tourn,101,Mark Crowther,2020.12.14,2,The Week in Chess 1362,1,2020.12.14,2784
15,73rd ch-RUS 2020,Moscow RUS,2020.12.14,9.2,"Dubov, Daniil","Nepomniachtchi, I.",1-0,2784,D85,18,RUS,2020.12.05,11,tourn,79,Mark Crowther,2020.12.14,2,The Week in Chess 1362,1,2020.12.14,2702
16,73rd ch-RUS 2020,Moscow RUS,2020.12.15,10.5,"Nepomniachtchi, I.","Esipenko, Andrey",1-0,2686,C42,18,RUS,2020.12.05,11,tourn,101,Mark Crowther,2020.12.21,2,The Week in Chess 1363,1,2020.12.21,2784
17,73rd ch-RUS 2020,Moscow RUS,2020.12.16,11.3,"Chigaev, M.","Nepomniachtchi, I.",1/2-1/2,2784,B90,18,RUS,2020.12.05,11,tourn,19,Mark Crowther,2020.12.21,2,The Week in Chess 1363,1,2020.12.21,2619
18,FIDE Candidates 2020,Yekaterinburg RUS,2021.04.19,8.3,"Nepomniachtchi, I.","Giri, A.",1/2-1/2,2763,B33,21,RUS,2020.03.17,14,tourn,55,Mark Crowther,2021.04.19,2,The Week in Chess 1380,1,2021.04.19,2774
19,FIDE Candidates 2020,Yekaterinburg RUS,2021.04.20,9.2,"Grischuk, A.","Nepomniachtchi, I.",1/2-1/2,2774,D85,21,RUS,2020.03.17,14,tourn,80,Mark Crowther,2021.04.26,2,The Week in Chess 1381,1,2021.04.26,2777
20,FIDE Candidates 2020,Yekaterinburg RUS,2021.04.21,10.4,"Nepomniachtchi, I.","Alekseenko, K.",1-0,2698,A13,21,RUS,2020.03.17,14,tourn,61,Mark Crowther,2021.04.26,2,The Week in Chess 1381,1,2021.04.26,2774
21,FIDE Candidates 2020,Yekaterinburg RUS,2021.04.23,11.1,"Nepomniachtchi, I.","Caruana, F.",1/2-1/2,2842,C47,21,RUS,2020.03.17,14,tourn,81,Mark Crowther,2021.04.26,2,The Week in Chess 1381,1,2021.04.26,2774
22,FIDE Candidates 2020,Yekaterinburg RUS,2021.04.24,12.4,Wang Hao,"Nepomniachtchi, I.",0-1,2774,C42,21,RUS,2020.03.17,14,tourn,118,Mark Crowther,2021.04.26,2,The Week in Chess 1381,1,2021.04.26,2762
23,FIDE Candidates 2020,Yekaterinburg RUS,2021.04.26,13.2,"Nepomniachtchi, I.","Vachier Lagrave, M.",1/2-1/2,2767,A15,21,RUS,2020.03.17,14,tourn,83,Mark Crowther,2021.04.26,2,The Week in Chess 1381,1,2021.04.26,2774
24,FIDE Candidates 2020,Yekaterinburg RUS,2021.04.27,14.3,Ding Liren,"Nepomniachtchi, I.",1-0,2774,E60,21,RUS,2020.03.17,14,tourn,69,Mark Crowther,2021.05.03,2,The Week in Chess 1382,1,2021.05.03,2805
