,Event,Site,Date,Round,White,Black,Result,BlackElo,ECO,EventCountry,EventDate,EventRounds,EventType,PlyCount,Source,SourceDate,SourceQuality,SourceTitle,SourceVersion,SourceVersionDate,WhiteElo,BlackTeam,WhiteTeam,EventCategory,WhiteTeamCountry,BlackTeamCountry
0,Gibraltar Masters 2020,Caleta ENG,2020.01.21,1.57,"Priyanka, Nutakki","Gukesh, D.",1/2-1/2,2542,A16,ENG,2020.01.21,10,swiss,91,Mark Crowther,2020.01.27,2,The Week in Chess 1316,1,2020.01.27,2242,,,,,
1,Gibraltar Masters 2020,Caleta ENG,2020.01.22,2.63,"Gukesh, D.","Plotkin, V.",1-0,2267,A07,ENG,2020.01.21,10,swiss,109,Mark Crowther,2020.01.27,2,The Week in Chess 1316,1,2020.01.27,2542,,,,,
2,Gibraltar Masters 2020,Caleta ENG,2020.01.23,3.40,"Gschnitzer, Adrian","Gukesh, D.",1/2-1/2,2542,B09,ENG,2020.01.21,10,swiss,108,Mark Crowther,2020.01.27,2,The Week in Chess 1316,1,2020.01.27,2388,,,,,
3,Gibraltar Masters 2020,Caleta ENG,2020.01.24,4.36,"Gukesh, D.","Lombaers, P.",1-0,2383,B33,ENG,2020.01.21,10,swiss,77,Mark Crowther,2020.01.27,2,The Week in Chess 1316,1,2020.01.27,2542,,,,,
4,Gibraltar Masters 2020,Caleta ENG,2020.01.25,5.13,"Jones, G.","Gukesh, D.",1-0,2542,B31,ENG,2020.01.21,10,swiss,51,Mark Crowther,2020.01.27,2,The Week in Chess 1316,1,2020.01.27,2679,,,,,
5,Gibraltar Masters 2020,Caleta ENG,2020.01.26,6.35,"Gukesh, D.","Percivaldi, Martin",1-0,2403,A09,ENG,2020.01.21,10,swiss,75,Mark Crowther,2020.01.27,2,The Week in Chess 1316,1,2020.01.27,2542,,,,,
6,Gibraltar Masters 2020,Caleta ENG,2020.01.27,7.27,"Buksa, N.","Gukesh, D.",0-1,2542,B01,ENG,2020.01.21,10,swiss,78,Mark Crowther,2020.01.27,2,The Week in Chess 1316,1,2020.01.27,2403,,,,,
7,Gibraltar Masters 2020,Caleta ENG,2020.01.28,8.13,"Gukesh, D.","Adhiban, Baskaran",1/2-1/2,2654,D32,ENG,2020.01.21,10,swiss,130,Mark Crowther,2020.02.03,2,The Week in Chess 1317,1,2020.02.03,2542,,,,,
8,Gibraltar Masters 2020,Caleta ENG,2020.01.29,9.16,"Narayanan, SL.","Gukesh, D.",1/2-1/2,2542,D61,ENG,2020.01.21,10,swiss,72,Mark Crowther,2020.02.03,2,The Week in Chess 1317,1,2020.02.03,2637,,,,,
9,Gibraltar Masters 2020,Caleta ENG,2020.01.30,10.15,"Gukesh, D.","Vocaturo, D.",0-1,2622,D38,ENG,2020.01.21,10,swiss,172,Mark Crowther,2020.02.03,2,The Week in Chess 1317,1,2020.02.03,2542,,,,,
10,Hillerod 100th Ann. Open,Hillerod DEN,2020.02.08,1.2,"Gukesh, D.","Madsen, Michael Ole",1-0,2042,A11,DEN,2020.02.08,9,swiss,69,Mark Crowther,2020.02.10,2,The Week in Chess 1318,2,2020.02.11,2542,,,,,
11,Hillerod 100th Ann. Open,Hillerod DEN,2020.02.09,2.2,"Andersen, Soren Bull","Gukesh, D.",0-1,2542,E70,DEN,2020.02.08,9,swiss,54,Mark Crowther,2020.02.10,2,The Week in Chess 1318,2,2020.02.11,2100,,,,,
12,Hillerod 100th Ann. Open,Hillerod DEN,2020.02.09,3.2,"Gukesh, D.","Siva, Mahadevan",1-0,2310,E90,DEN,2020.02.08,9,swiss,93,Mark Crowther,2020.02.10,2,The Week in Chess 1318,2,2020.02.11,2542,,,,,
13,Hillerod 100th Ann. Open,Hillerod DEN,2020.02.10,4.2,"Jacobsen, Mikkel Manosri","Gukesh, D.",0-1,2542,D02,DEN,2020.02.08,9,swiss,78,Mark Crowther,2020.02.17,2,The Week in Chess 1319,1,2020.02.17,2315,,,,,
14,Hillerod 100th Ann. Open,Hillerod DEN,2020.02.11,5.1,"Gukesh, D.","Zeng, C.",1/2-1/2,2567,E46,DEN,2020.02.08,9,swiss,60,Mark Crowther,2020.02.17,2,The Week in Chess 1319,1,2020.02.17,2542,,,,,
15,Hillerod 100th Ann. Open,Hillerod DEN,2020.02.12,6.2,"Sylvan, J.","Gukesh, D.",0-1,2542,A15,DEN,2020.02.08,9,swiss,74,Mark Crowther,2020.02.17,2,The Week in Chess 1319,1,2020.02.17,2335,,,,,
16,Hillerod 100th Ann. Open,Hillerod DEN,2020.02.13,7.2,"Gukesh, D.","Schultz Pedersen, J.",1-0,2058,B00,DEN,2020.02.08,9,swiss,61,Mark Crowther,2020.02.17,2,The Week in Chess 1319,1,2020.02.17,2542,,,,,
17,Hillerod 100th Ann. Open,Hillerod DEN,2020.02.14,8.1,"Devereaux, M.","Gukesh, D.",1/2-1/2,2542,,DEN,2020.02.08,9,swiss,0,Mark Crowther,2020.02.17,2,The Week in Chess 1319,1,2020.02.17,2339,,,,,
