,Event,Site,Date,Round,White,Black,Result,BlackElo,ECO,EventCategory,EventCountry,EventDate,EventRounds,EventType,PlyCount,Source,SourceDate,SourceQuality,SourceTitle,SourceVersion,SourceVersionDate,WhiteElo,BlackTeam,WhiteTeam
0,Marshall GM Norm 2020,New York USA,2020.02.27,1.2,"Wang, K.","Niemann, Hans Moke",0-1,2459,B22,8,USA,2020.02.27,9,tourn,84,Mark Crowther,2020.03.02,2,The Week in Chess 1321,1,2020.03.02,2418,,
1,Marshall GM Norm 2020,New York USA,2020.02.27,2.4,"Niemann, Hans Moke","Korley, K.",1-0,2430,D37,8,USA,2020.02.27,9,tourn,129,Mark Crowther,2020.03.02,2,The Week in Chess 1321,1,2020.03.02,2459,,
2,Marshall GM Norm 2020,New York USA,2020.02.28,3.3,"Perunovic, Mil","Niemann, Hans Moke",1-0,2459,B69,8,USA,2020.02.27,9,tourn,143,Mark Crowther,2020.03.02,2,The Week in Chess 1321,1,2020.03.02,2591,,
3,Marshall GM Norm 2020,New York USA,2020.02.28,4.3,"Niemann, Hans Moke","Kaliksteyn, A.",1-0,2394,A06,8,USA,2020.02.27,9,tourn,63,Mark Crowther,2020.03.02,2,The Week in Chess 1321,1,2020.03.02,2459,,
4,Marshall GM Norm 2020,New York USA,2020.02.29,5.4,"Paragua, M.","Niemann, Hans Moke",1-0,2459,C26,8,USA,2020.02.27,9,tourn,55,Mark Crowther,2020.03.02,2,The Week in Chess 1321,1,2020.03.02,2513,,
5,Marshall GM Norm 2020,New York USA,2020.02.29,6.2,"Niemann, Hans Moke",Wang Qibiao,0-1,2362,D35,8,USA,2020.02.27,9,tourn,92,Mark Crowther,2020.03.02,2,The Week in Chess 1321,1,2020.03.02,2459,,
6,Marshall GM Norm 2020,New York USA,2020.03.01,7.5,"Yoo, Christopher Woojin","Niemann, Hans Moke",0-1,2459,C65,8,USA,2020.02.27,9,tourn,44,Mark Crowther,2020.03.02,2,The Week in Chess 1321,1,2020.03.02,2430,,
7,Marshall GM Norm 2020,New York USA,2020.03.01,8.2,"Khamrakulov, D.","Niemann, Hans Moke",1/2-1/2,2459,A05,8,USA,2020.02.27,9,tourn,14,Mark Crowther,2020.03.02,2,The Week in Chess 1321,1,2020.03.02,2525,,
8,Marshall GM Norm 2020,New York USA,2020.03.02,9.1,"Niemann, Hans Moke","Colas, Joshua",1-0,2319,B10,8,USA,2020.02.27,9,tourn,91,Mark Crowther,2020.03.02,2,The Week in Chess 1321,1,2020.03.02,2459,,
9,CCCSA Fall GM 2020,Charlotte USA,2020.09.30,1.5,"Niemann, Hans Moke","Daggupati, Balaji",1-0,2331,A09,8,USA,2020.09.30,9,tourn,53,Mark Crowther,2020.10.05,2,The Week in Chess 1352,1,2020.10.05,2465,,
